D³ugoœæ kroku;Lp.;x1(0);x2(0);x1* (HJ);x2* (HJ);y* (HJ);Liczba wywo³añ funkcji celu (HJ);x1* (Rosen);x2* (Rosen);y* (Rosen);Liczba wywo³añ funkcji celu (Rosen)
0.001; 1; -0.107557; 0.746774; 5.99075e-06; 0.774712; 0,619837; 282; -1.96275e-06; 0.774716; 0,619837; 720
0.001; 2; -0.827131; 0.447204; -0.77471; 0.774719; 1,23967; 384; -0.774716; 0.774716; 1,23967; 1292
0.001; 3; -0.299043; -0.932072; 3.42078e-06; -0.774712; 0,619837; 524; -2.08924e-06; -0.774716; 0,619837; 644
0.001; 4; -0.409126; -0.834951; -1.3386e-06; -0.774717; 0,619837; 388; 1.23821e-08; -0.774716; 0,619837; 668
0.001; 5; 0.451908; -0.254331; 0.774721; -2.95239e-06; 0,619837; 488; 0.774716; -3.43308e-07; 0,619837; 408
0.001; 6; 0.351995; 0.967294; -4.83487e-06; 0.774716; 0,619837; 574; 2.34031e-08; 0.774716; 0,619837; 796
0.001; 7; -0.0369396; 0.825078; -2.08235e-06; 0.774718; 0,619837; 292; -1.82454e-08; 0.774716; 0,619837; 1348
0.001; 8; -0.620247; -0.704052; -0.774716; -0.774709; 1,23967; 430; -0.774716; -0.774716; 1,23967; 1840
0.001; 9; 0.814535; 0.36865; 0.774722; -6.1263e-06; 0,619837; 488; 0.774716; 6.92986e-08; 0,619837; 776
0.001; 10; 0.915457; -0.0878982; 0.774723; -7.53246e-06; 0,619837; 388; 0.774712; -3.06714e-08; 0,619837; 860
0.001; 11; 0.126282; 0.602531; 1.02787e-06; 0.774718; 0,619837; 356; -1.78197e-09; 0.774716; 0,619837; 624
0.001; 12; 0.886355; -0.553281; 0.774715; -0.774719; 1,23967; 470; 0.774716; -0.774716; 1,23967; 740
0.001; 13; 0.40588; -0.000109824; 4.5489e-06; -4.48574e-07; 6,65307e-10; 398; 5.58982e-10; -1.56462e-09; 0; 832
0.001; 14; -0.594679; 0.258729; -0.77471; -5.23761e-06; 0,619837; 506; -0.774716; -9.7478e-09; 0,619837; 644
0.001; 15; -0.711403; -0.894097; -0.774715; -0.774722; 1,23967; 340; -0.774715; -0.774718; 1,23967; 756
0.001; 16; -0.671264; 0.732453; -0.774717; 0.774719; 1,23967; 348; -0.774716; 0.774716; 1,23967; 720
0.001; 17; -0.925143; -0.564717; -0.774721; -0.774717; 1,23967; 434; -0.774716; -0.774716; 1,23967; 1896
0.001; 18; 0.973122; -0.654316; 0.774716; -0.774722; 1,23967; 454; 0.774715; -0.774716; 1,23967; 612
0.001; 19; -0.756792; 0.0909272; -0.774714; 5.3309e-06; 0,619837; 268; -0.774716; -4.24582e-09; 0,619837; 636
0.001; 20; -0.156551; 0.216516; -4.26238e-06; 4.85325e-07; 5,8601e-10; 392; -7.86901e-08; 1.88335e-09; 1,97176e-13; 960
0.001; 21; 0.578853; 0.853482; 0.774712; 0.774716; 1,23967; 394; 0.77472; 0.774716; 1,23967; 604
0.001; 22; -0.462848; -0.391531; -0.774723; 4.89031e-08; 0,619837; 460; -0.774716; 1.16227e-08; 0,619837; 884
0.001; 23; 0.475126; 0.857833; 0.77472; 0.774708; 1,23967; 458; 0.774615; 0.774717; 1,23967; 456
0.001; 24; -0.958855; 0.872304; -0.774715; 0.77471; 1,23967; 440; -0.774713; 0.774716; 1,23967; 708
0.001; 25; 0.141502; -0.695357; 1.67465e-06; -0.774717; 0,619837; 422; 6.79049e-09; -0.774716; 0,619837; 936
0.001; 26; -0.472195; 0.635173; -0.77471; 0.77472; 1,23967; 522; -0.774713; 0.774716; 1,23967; 556
0.001; 27; 0.451723; -0.971003; 0.774723; -0.774722; 1,23967; 436; 0.774716; -0.774716; 1,23967; 620
0.001; 28; -0.113601; 0.137451; -7.10462e-06; -1.71879e-06; 1,70134e-09; 388; -1.08173e-06; 1.95972e-09; 3,72604e-11; 708
0.001; 29; 0.00139361; 0.609579; 2.98471e-06; 0.77472; 0,619837; 360; -0.000317384; 0.774716; 0,61984; 184
0.001; 30; -0.179558; -0.902823; 4.92621e-06; -0.774714; 0,619837; 404; -5.44569e-07; -0.774716; 0,619837; 632
0.001; 31; 0.14265; -0.471826; -6.47995e-06; -0.774716; 0,619837; 544; -1.08596e-07; -0.774716; 0,619837; 1008
0.001; 32; 0.387055; 0.819677; -7.58022e-06; 0.774709; 0,619837; 420; -4.86788e-06; 0.774715; 0,619837; 732
0.001; 33; 0.146786; 0.27306; 5.06334e-06; -2.21242e-06; 9,72222e-10; 478; 1.86871e-06; 1.74804e-07; 1,1217e-10; 880
0.001; 34; 0.161536; -0.372437; 4.29921e-06; 7.83528e-07; 6,08101e-10; 534; 2.33388e-07; 2.51612e-08; 1,7546e-12; 664
0.001; 35; 0.0526751; 0.291479; 3.20544e-06; -5.55178e-06; 1,30863e-09; 450; 7.7029e-09; 1.05142e-08; 5,32907e-15; 996
